Date/Time,Word Count,en-GB,fr-FR
2019.03.18-14.53.15,48,0,48
2019.03.18-14.59.41,46,0,46
2019.03.18-15.07.35,46,18,46
2019.03.18-15.09.20,46,13,46
2019.03.18-15.11.55,46,46,46
2019.03.18-15.31.15,46,42,46
2019.03.22-17.11.54,46,45,46
2019.03.22-17.12.56,49,45,49
2019.03.22-17.14.50,49,46,49
2019.03.22-17.27.18,49,48,49
2019.03.25-23.42.23,63,48,63
2019.03.25-23.44.47,63,63,63
2019.04.01-17.03.41,114,60,114
2019.04.01-17.09.21,114,112,114
2019.04.01-17.13.02,114,114,114
2019.04.01-21.23.14,115,114,115
2019.04.01-21.25.00,115,115,115
2019.04.29-15.25.48,173,83,173
2019.04.29-15.30.49,165,83,165
2019.04.29-15.40.52,165,148,165
2019.04.29-15.41.47,144,144,144
2019.04.29-15.43.42,121,121,121
2019.04.29-17.08.07,120,120,120
2019.05.02-12.43.34,128,116,128
2019.05.02-12.46.53,128,127,128
2019.05.02-14.36.23,127,127,127
2019.05.15-12.11.32,130,127,130
2019.05.15-12.12.06,130,130,130
2019.05.17-11.50.27,127,103,127
2019.05.17-11.52.15,127,127,127
